"Coefficient","Distance","Screen","amean","max","maxPos","min","minPos","quartile1","quartile2","quartile3","range","stddev"
1,"far","off",0.2064304,12.96868,767,-15.93909,663,-2.154691,0.6508647,2.589866,28.90778,3.597066
2,"far","off",-4.115745,12.85761,509,-26.05566,597,-6.579805,-4.074307,-0.9121522,38.91326,4.954051
3,"far","off",-3.357895,23.79222,582,-24.65895,1119,-5.880419,-3.701916,-1.551165,48.45117,5.636547
4,"far","off",-2.94091,16.77973,788,-22.39226,686,-5.281786,-2.591589,-0.06465906,39.17199,4.552696
5,"far","off",-2.140842,40.91364,1141,-40.19076,584,-4.557301,-1.693464,1.008649,81.10439,6.547675
6,"far","off",1.679863,17.32984,351,-50.78668,595,-0.3125742,2.834723,5.683338,68.11652,7.368401
7,"far","off",-0.912206,20.64468,695,-32.00941,631,-3.916332,-0.8166171,2.521992,52.65409,5.439419
8,"far","off",-3.80722,14.383,758,-40.13645,610,-6.756359,-2.687853,0.7630249,54.51945,7.344372
9,"far","off",-2.285734,13.94179,568,-44.65149,584,-5.24214,-1.725621,1.778972,58.59328,6.62991
10,"far","off",-4.655391,27.33283,1006,-26.92198,612,-8.335426,-4.741808,-1.185863,54.25481,5.927771
11,"far","off",-2.439173,22.25884,733,-30.68669,583,-5.602835,-2.096792,1.285224,52.94553,5.937344
12,"far","off",-3.451419,13.32446,697,-31.0794,868,-6.51844,-2.757519,0.4076572,44.40386,5.758986
